id,host,user,start,end,last.update,duration,duration.min
264302,headcrash.ocf.berkeley.edu,nicolaschan,2017-08-26T15:41:01Z,2017-08-26T15:59:39Z,2017-08-26T15:59:39Z,00:18:38,18.63
264323,drought.ocf.berkeley.edu,vaibhavj,2017-08-26T17:20:03Z,2017-08-26T17:53:23Z,2017-08-26T17:53:23Z,00:33:20,33.33
264327,firewhirl.ocf.berkeley.edu,andycui,2017-08-26T17:52:02Z,2017-08-26T21:58:37Z,2017-08-26T21:58:37Z,04:06:35,246.58
264333,cyanide.ocf.berkeley.edu,chunhaowang,2017-08-26T18:46:03Z,2017-08-27T01:00:05Z,2017-08-27T01:00:05Z,06:14:02,374.03
264335,outbreak.ocf.berkeley.edu,shikhardhingra,2017-08-26T19:03:02Z,2017-08-26T23:57:37Z,2017-08-26T23:57:37Z,04:54:35,294.58
264336,madcow.ocf.berkeley.edu,asai,2017-08-26T19:20:02Z,2017-08-26T21:57:07Z,2017-08-26T21:57:07Z,02:37:05,157.08
264337,famine.ocf.berkeley.edu,asai,2017-08-26T19:40:02Z,2017-08-26T21:20:21Z,2017-08-26T21:20:21Z,01:40:19,100.32
264338,blight.ocf.berkeley.edu,baisang,2017-08-26T20:01:02Z,2017-08-26T23:16:13Z,2017-08-26T23:16:13Z,03:15:11,195.18
264339,eruption.ocf.berkeley.edu,bchieng,2017-08-26T20:07:02Z,2017-08-26T23:23:01Z,2017-08-26T23:23:01Z,03:15:59,195.98
264340,bigbang.ocf.berkeley.edu,shichenh,2017-08-26T20:08:01Z,2017-08-26T22:14:44Z,2017-08-26T22:14:44Z,02:06:43,126.72
264341,acid.ocf.berkeley.edu,andycui,2017-08-26T21:22:02Z,2017-08-26T21:57:19Z,2017-08-26T21:57:19Z,00:35:17,35.28
264342,bigbang.ocf.berkeley.edu,shichenh,2017-08-27T07:46:01Z,2017-08-27T16:22:03Z,2017-08-27T16:22:03Z,08:36:02,516.03
264343,cyclone.ocf.berkeley.edu,shasan,2017-08-27T09:47:02Z,2017-08-27T21:36:16Z,2017-08-27T21:36:16Z,11:49:14,709.23
264344,firewhirl.ocf.berkeley.edu,trliu,2017-08-27T10:12:02Z,2017-08-27T11:20:43Z,2017-08-27T11:20:43Z,01:08:41,68.68
264345,blizzard.ocf.berkeley.edu,bchieng,2017-08-27T10:58:03Z,2017-08-27T12:56:10Z,2017-08-27T12:56:10Z,01:58:07,118.12
264349,firewhirl.ocf.berkeley.edu,trliu,2017-08-27T11:22:02Z,2017-08-27T15:41:15Z,2017-08-27T15:41:15Z,04:19:13,259.22
264350,outbreak.ocf.berkeley.edu,ldw,2017-08-27T11:23:03Z,2017-08-27T12:02:26Z,2017-08-27T12:02:26Z,00:39:23,39.38
264361,heatwave.ocf.berkeley.edu,andycui,2017-08-27T12:04:02Z,2017-08-27T16:47:51Z,2017-08-27T16:47:51Z,04:43:49,283.82
264366,blight.ocf.berkeley.edu,vaibhavj,2017-08-27T12:10:03Z,2017-08-27T12:57:16Z,2017-08-27T12:57:16Z,00:47:13,47.22
